measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2011,0.1235420767510125,0.1507356895626249,0.1002151199062247
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2011,0.0117879130052003,0.0153668965213501,0.0086757894510515
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2012,0.1225549506781164,0.1493487061540567,0.0988736803545684
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2012,0.0114962360262434,0.0149392708597431,0.0084370123482043
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2013,0.1209136235564491,0.1472036576808106,0.0971057205800322
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2013,0.0112898089194927,0.0146445761562387,0.0083589460630768
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2014,0.1193857596501383,0.144828239623618,0.0963834502500478
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2014,0.0110688771110526,0.0143477308699912,0.0081047498919852
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2015,0.1188231267455089,0.1434898991033596,0.0956952914288274
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2015,0.0108695377300074,0.0142934751696544,0.0078265734052379
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2016,0.1182871650900438,0.1432687574576022,0.0957418647076965
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2016,0.0107667291093849,0.0141819590925024,0.0077712138000755
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2017,0.1177818458309487,0.1429115414214014,0.0960534983219812
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2017,0.0106949756160086,0.0140736995587276,0.0076347539849844
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2018,0.1179033071239773,0.1430358459202991,0.096277419338138
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2018,0.010537693281353,0.0139216202312403,0.0075086086902191
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2019,0.1177280845346672,0.1426829232388162,0.096281450308141
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2019,0.0105008873136671,0.014046865553803,0.0074582191355829
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2020,0.1180229316103829,0.1435220771052481,0.0959294116140518
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2020,0.0104867379419705,0.0141467081808858,0.0074678225361465
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2021,0.1179655691752581,0.1440261073751715,0.0958417047778496
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Smoking,Percent,2021,0.0104172483663323,0.0142890715739417,0.0075179804641753
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2011,0.0053754890969326,0.0101482160070429,0.0019099488528601
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2011,0.0004466058429369,0.0009825580253861,9.40306707887e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2012,0.0052824015067275,0.0100336636074856,0.00188689549608
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2012,0.000437068799532,0.0009520423602035,9.50139982946e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2013,0.0052368137703397,0.0099427465726148,0.0019005331166736
